naam,show,date,correct,corona,gender,migratie,vakgebied,wetenschap,partij,polfunctie,Datum,GEM
robin peeters,Jinek,2020-09-28,NA,1,m,0,Wetenschapper,Andere medische wetenschappen,NA,NA,09/28/2020,785000
roderick pijls,Op1,2020-05-12,NA,0,m,0,Burger,NA,NA,NA,05/12/2020,1204000
roel maalderink,Op1,2020-05-17,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,05/17/2020,1500000
roel maalderink,M,2020-12-15,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,12/15/2020,1004000
roel van velzen,M,2020-11-19,NA,0,m,0,Muzikant,NA,NA,NA,11/19/2020,1045000
roger bruggemann,Op1,2020-04-11,NA,1,m,0,Medisch personeel,NA,NA,NA,04/11/2020,1306000
roger derikx,Jinek,2021-01-15,NA,0,m,0,Burger,NA,NA,NA,01/15/2021,1013000
roger van boxtel,Op1,2020-05-14,NA,0,m,0,Bedrijfsleven,NA,NA,NA,05/14/2020,1110000
roger van boxtel,Op1,2020-04-24,NA,0,m,0,Bedrijfsleven,NA,NA,NA,04/24/2020,1123000
rogier greebe,Op1,2020-12-10,NA,0,m,0,Burger,NA,NA,NA,12/10/2020,764000
rogier veltrop,Op1,2020-08-12,NA,0,m,0,Niet-wetenschappelijk expert,NA,NA,NA,08/12/2020,1078000
roland de laak,Op1,2020-04-19,NA,0,m,0,Burger,NA,NA,NA,04/19/2020,1236000
rolf sanchez,Vooravond,2020-09-02,NA,0,m,0,Muzikant,NA,NA,NA,09/02/2020,913000
rolf sanchez,Humberto,2021-02-21,NA,0,m,0,Muzikant,NA,NA,NA,02/21/2021,662000
roline de wilde,Op1,2020-04-02,NA,1,v,0,Bedrijfsleven,NA,NA,NA,04/02/2020,1076000
roline de wilde,Jinek,2021-01-27,NA,1,v,0,Bedrijfsleven,NA,NA,NA,01/27/2021,762000
romana vrede,DWDD,2020-03-25,NA,0,v,1,Mediapersoonlijkheid,NA,NA,NA,03/25/2020,1958000
romana vrede,M,2020-05-08,NA,0,v,1,Mediapersoonlijkheid,NA,NA,NA,05/08/2020,815000
ron fresen,Op1,2020-12-22,NA,0,m,0,Journalist,NA,NA,NA,12/22/2020,861000
ron jans,Op1,2020-06-20,NA,0,m,0,Sporter,NA,NA,NA,06/20/2020,1030000
ron kas,M,2021-01-05,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,01/05/2021,924000
ron kusters,Op1,2020-10-01,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,10/01/2020,895000
ronald de boer,M,2020-04-20,NA,0,m,0,Sporter,NA,NA,NA,04/20/2020,1101000
ronald de boer,Beau,2020-05-13,NA,0,m,0,Sporter,NA,NA,NA,05/13/2020,943000
ronald de boer,Jinek,2021-01-07,NA,0,m,0,Sporter,NA,NA,NA,01/07/2021,1121000
ronald de boer,Jinek,2020-04-13,NA,0,m,0,Sporter,NA,NA,NA,04/13/2020,790000
ronald giphart,Op1,2020-06-10,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,06/10/2020,1008000
ronald giphart,Jinek,2020-04-03,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,04/03/2020,1276000
ronald goedemondt,Jinek,2021-01-07,NA,0,m,0,Cabaretier,NA,NA,NA,01/07/2021,1121000
ronald koeman,Op1,2020-07-08,NA,0,m,0,Sporter,NA,NA,NA,07/08/2020,917000
ronald koeman,DWDD,2020-03-11,NA,0,m,0,Sporter,NA,NA,NA,03/11/2020,1422000
ronald koeman,Beau,2020-05-28,NA,0,m,0,Sporter,NA,NA,NA,05/28/2020,697000
ronald koeman,Jinek,2021-02-12,NA,0,m,0,Sporter,NA,NA,NA,02/12/2021,1171000
ronald lotgerink,Beau,2020-05-25,NA,0,m,0,Bedrijfsleven,NA,NA,NA,05/25/2020,690000
ronald plasterk,Jinek,2021-01-14,NA,0,m,0,Politiek,NA,PvdA,Ex-politicus,01/14/2021,858000
ronald snijders,Op1,2020-05-30,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,05/30/2020,1236000
ronald snijders,Op1,2020-03-11,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,03/11/2020,820000
ronald snijders,M,2020-11-25,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,11/25/2020,1022000
ronald snijders,M,2020-11-06,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,11/06/2020,1194000
ronald snijders,Vooravond,2020-09-14,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,09/14/2020,826000
ronald sorensen,Op1,2020-11-24,NA,0,m,0,Politiek,NA,NA,NA,11/24/2020,910000
ronald van der kemp,M,2020-04-29,NA,0,m,0,Bedrijfsleven,NA,NA,NA,04/29/2020,1167000
ronald waterreus,Op1,2020-06-07,NA,0,m,0,Sporter,NA,NA,NA,06/07/2020,1291000
ronald waterreus,Beau,2020-06-29,NA,0,m,0,Sporter,NA,NA,NA,06/29/2020,721000
ronald wouters,Op1,2020-04-16,NA,1,m,0,Burger,NA,NA,NA,04/16/2020,1061000
ronit palache,Op1,2020-11-18,NA,0,v,0,Journalist,NA,NA,NA,11/18/2020,787000
ronit palache,M,2020-05-05,NA,0,v,0,Journalist,NA,NA,NA,05/05/2020,914000
ronit palache,Vooravond,2021-02-23,NA,0,v,0,Journalist,NA,NA,NA,02/23/2021,2079000
ronit palache,Vooravond,2021-02-15,NA,0,v,0,Journalist,NA,NA,NA,02/15/2021,1252000
ronnie flex,Op1,2020-09-15,NA,0,m,0,Muzikant,NA,NA,NA,09/15/2020,739000
ronnie flex,Op1,2020-09-14,NA,0,m,0,Muzikant,NA,NA,NA,09/14/2020,691000
ronnie flex,Jinek,2020-03-04,NA,0,m,0,Muzikant,NA,NA,NA,03/04/2020,558000
roos moggre,DWDD,2020-03-17,NA,0,v,0,Mediapersoonlijkheid,NA,NA,NA,03/17/2020,2151000
roos moggre,Jinek,2021-01-04,NA,0,v,0,Mediapersoonlijkheid,NA,NA,NA,01/04/2021,965000
rosa schokker,Op1,2020-07-05,NA,1,v,0,Burger,NA,NA,NA,07/05/2020,1075000
rosanne hertzberger,Op1,2021-01-10,NA,1,v,0,Wetenschapper,Andere medische wetenschappen,NA,NA,01/10/2021,1559000
rosanne hertzberger,M,2021-02-03,NA,1,v,0,Wetenschapper,Andere medische wetenschappen,NA,NA,02/03/2021,1186000
rosanne hertzberger,M,2020-04-21,NA,1,v,0,Wetenschapper,Andere medische wetenschappen,NA,NA,04/21/2020,2790000
rosanne hertzberger,M,2020-04-07,NA,1,v,0,Wetenschapper,Andere medische wetenschappen,NA,NA,04/07/2020,1582000
rosanne hertzberger,M,2020-03-30,NA,1,v,0,Wetenschapper,Andere medische wetenschappen,NA,NA,03/30/2020,1242000
rosanne hertzberger,Jinek,2020-10-28,NA,1,v,0,Wetenschapper,Andere medische wetenschappen,NA,NA,10/28/2020,753000
rosanne philippens,Op1,2020-04-10,NA,0,v,0,Muzikant,NA,NA,NA,04/10/2020,1355000
rosanne stam,Op1,2020-09-07,NA,1,v,0,Burger,NA,NA,NA,09/07/2020,748000
roue verveer,Op1,2020-05-22,NA,0,m,1,Cabaretier,NA,NA,NA,05/22/2020,888000
roue verveer,Op1,2020-06-26,NA,0,m,1,Cabaretier,NA,NA,NA,06/26/2020,655000
roue verveer,M,2020-11-27,NA,0,m,1,Cabaretier,NA,NA,NA,11/27/2020,876000
rowan marijnissen,Op1,2020-12-09,NA,1,v,0,Medisch personeel,NA,NA,NA,12/09/2020,1072000
rowan marijnissen,Op1,2020-06-30,NA,1,v,0,Medisch personeel,NA,NA,NA,06/30/2020,1088000
rowan marijnissen,M,2021-01-06,NA,1,v,0,Medisch personeel,NA,NA,NA,01/06/2021,1089000
roxane knetemann,Op1,2020-08-04,NA,0,v,0,Sporter,NA,NA,NA,08/04/2020,1020000
roxane van iperen,M,2020-12-16,NA,0,v,0,Schrijver/Kunstenaar,NA,NA,NA,12/16/2020,866000
roxane van iperen,M,2020-11-18,NA,0,v,0,Schrijver/Kunstenaar,NA,NA,NA,11/18/2020,1018000
roxane van iperen,M,2020-06-12,NA,0,v,0,Schrijver/Kunstenaar,NA,NA,NA,06/12/2020,658000
roxane van iperen,Vooravond,2020-09-10,NA,0,v,0,Schrijver/Kunstenaar,NA,NA,NA,09/10/2020,864000
roxane van iperen,Vooravond,2021-03-05,NA,0,v,0,Schrijver/Kunstenaar,NA,NA,NA,03/05/2021,787000
roxane van iperen,Jinek,2021-02-19,NA,0,v,0,Schrijver/Kunstenaar,NA,NA,NA,02/19/2021,1392000
roxeanne hazes,Op1,2020-05-03,NA,0,v,0,Muzikant,NA,NA,NA,05/03/2020,1373000
roxeanne hazes,Vooravond,2021-03-11,NA,0,v,0,Muzikant,NA,NA,NA,03/11/2021,717000
roxeanne hazes,Jinek,2020-09-16,NA,0,v,0,Muzikant,NA,NA,NA,09/16/2020,649000
roxeanne hazes,Jinek,2020-10-01,NA,0,v,0,Muzikant,NA,NA,NA,10/01/2020,665000
roy meyer,M,2020-06-17,NA,0,m,0,Sporter,NA,NA,NA,06/17/2020,906000
roy van den berg,Op1,2020-08-04,NA,0,m,0,Sporter,NA,NA,NA,08/04/2020,1020000
ruben hein,Op1,2020-12-07,NA,0,m,0,Muzikant,NA,NA,NA,12/07/2020,800000
ruben hein,DWDD,2020-03-19,NA,0,m,0,Muzikant,NA,NA,NA,03/19/2020,2212000
ruben hein,M,2020-12-14,NA,0,m,0,Muzikant,NA,NA,NA,12/14/2020,3571000
ruben hein,M,2020-11-13,NA,0,m,0,Muzikant,NA,NA,NA,11/13/2020,1048000
ruben hein,M,2020-06-23,NA,0,m,0,Muzikant,NA,NA,NA,06/23/2020,603000
ruben hein,M,2020-04-08,NA,0,m,0,Muzikant,NA,NA,NA,04/08/2020,1042000
ruben koops,Op1,2020-06-10,NA,0,m,0,Journalist,NA,NA,NA,06/10/2020,1008000
ruben koops,Op1,2020-06-09,NA,0,m,0,Journalist,NA,NA,NA,06/09/2020,1137000
ruben koops,Op1,2020-06-04,NA,0,m,0,Journalist,NA,NA,NA,06/04/2020,1135000
ruben koops,Op1,2020-08-05,NA,0,m,0,Journalist,NA,NA,NA,08/05/2020,944000
ruben terlou,Op1,2020-06-08,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,06/08/2020,1113000
ruben terlou,Op1,2021-01-08,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,01/08/2021,972000
ruben terlou,M,2020-04-08,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,04/08/2020,1042000
ruben van boxtel,DWDD,2020-02-27,NA,0,m,0,Wetenschapper,Andere medische wetenschappen,NA,NA,02/27/2020,1135000
rubens grouwels,Op1,2020-06-26,NA,0,m,0,Burger,NA,NA,NA,06/26/2020,655000
rudi lubbers,Op1,2021-01-25,NA,0,m,0,Sporter,NA,NA,NA,01/25/2021,1147000
rudolph van veen,Beau,2020-12-14,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,12/14/2020,1095000
rudy bouma,M,2021-01-25,NA,0,m,0,Journalist,NA,NA,NA,01/25/2021,1260000
rutger bregman,Op1,2021-01-18,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,01/18/2021,1046000
rutger bregman,DWDD,2020-03-20,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,03/20/2020,3438000
rutger bregman,DWDD,2020-03-16,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,03/16/2020,3894000
rutger bregman,M,2020-12-17,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,12/17/2020,955000
rutger bregman,M,2020-11-18,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,11/18/2020,1018000
rutger bregman,M,2020-05-29,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,05/29/2020,714000
rutger bregman,Vooravond,2020-09-22,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,09/22/2020,787000
rutger bregman,Beau,2020-07-07,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,07/07/2020,714000
rutger versteegh,Jinek,2021-01-22,NA,0,m,0,Burger,NA,NA,NA,01/22/2021,1054000
ruud benard,Jinek,2021-01-04,ruud benard,0,m,0,Mediapersoonlijkheid,NA,NA,NA,01/04/2021,965000
ruud de wild,Op1,2021-02-21,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,02/21/2021,1033000
ruud de wild,Beau,2020-12-04,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,12/04/2020,1247000
ruud gullit,Beau,2020-05-18,NA,0,m,0,Sporter,NA,NA,NA,05/18/2020,881000
ruud gullit,Jinek,2020-09-22,NA,0,m,0,Sporter,NA,NA,NA,09/22/2020,1099000
ruud gullit,Jinek,2021-02-22,NA,0,m,0,Sporter,NA,NA,NA,02/22/2021,944000
ruud gullit,Jinek,2020-03-23,NA,0,m,0,Sporter,NA,NA,NA,03/23/2020,858000
ruud gullit,Jinek,2020-04-24,NA,0,m,0,Sporter,NA,NA,NA,04/24/2020,1084000
ruud van dijken,Op1,2020-06-25,NA,0,m,0,Politie,NA,NA,NA,06/25/2020,769000
ruud van nistelrooy,DWDD,2020-03-04,NA,0,m,0,Sporter,NA,NA,NA,03/04/2020,1359000
ruud verkuijlen,Op1,2020-05-16,NA,1,m,0,Politie,NA,NA,NA,05/16/2020,1288000
ruurd jelle van der leij,Op1,2020-05-24,ruurd jelle van der leij,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,05/24/2020,1360000
ruurd jelle van der leij,Op1,2020-06-20,ruurd jelle van der leij,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,06/20/2020,1030000
ruurd jelle van der leij,Op1,2021-02-14,ruurd jelle van der leij,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,02/14/2021,1460000
ryan de lange,Beau,2020-07-03,ryan de lange,0,m,0,Muzikant,NA,NA,NA,07/03/2020,687000
ryan de lange,Jinek,2021-02-24,ryan de lange,0,m,0,Muzikant,NA,NA,NA,02/24/2021,947000
ryan de lange,Jinek,2020-04-16,ryan de lange,0,m,0,Muzikant,NA,NA,NA,04/16/2020,767000
ryanne van dorst,M,2020-04-03,NA,0,v,0,Muzikant,NA,NA,NA,04/03/2020,1006000
ryanne van dorst,Jinek,2020-10-12,NA,0,v,0,Muzikant,NA,NA,NA,10/12/2020,826000
epke zonderland,Op1,2020-08-03,NA,0,m,1,Sporter,NA,NA,NA,08/03/2020,1222000
epke zonderland,DWDD,2020-03-24,NA,0,m,1,Sporter,NA,NA,NA,03/24/2020,1973000
epke zonderland,M,2021-02-10,NA,0,m,1,Sporter,NA,NA,NA,02/10/2021,1104000
epke zonderland,M,2020-06-17,NA,0,m,1,Sporter,NA,NA,NA,06/17/2020,906000
aranka kops,Op1,2020-07-31,NA,0,v,1,Sporter,NA,NA,NA,07/31/2020,872000
marieke van der plas,Op1,2020-07-29,NA,0,v,1,Niet-wetenschappelijk expert,NA,NA,NA,07/29/2020,1037000
loes linders,Op1,2020-07-27,NA,0,v,1,Sporter,NA,NA,NA,07/27/2020,1087000
fons de poel,Op1,2020-07-21,NA,0,m,1,Journalist,NA,NA,NA,07/21/2020,985000
fons de poel,Op1,2020-06-15,NA,0,m,1,Journalist,NA,NA,NA,06/15/2020,947000
nicole buch,Op1,2020-07-21,NA,0,v,1,Mediapersoonlijkheid,NA,NA,NA,07/21/2020,985000
thomas ter laak,Op1,2020-07-17,NA,0,m,1,Wetenschapper,Natuurwetenschappen,NA,NA,07/17/2020,992000
laurens van der gun,Op1,2020-07-08,NA,0,m,1,Bedrijfsleven,NA,NA,NA,07/08/2020,917000
stephan vanfleteren,Op1,2020-07-06,NA,0,m,1,Schrijver/Kunstenaar,NA,NA,NA,07/06/2020,925000
remko de bruijne,Op1,2020-07-03,NA,0,m,1,Politie,NA,NA,NA,07/03/2020,820000
jannine van den berg,Op1,2020-07-02,NA,0,v,1,Politie,NA,NA,NA,07/02/2020,884000
