partij,type,medium,days,gezien,waardering
D66 & Sigrid Kaag,Partijvoorkeur,Krant,Regelmatig,1.37,5.75
D66 & Sigrid Kaag,Partijvoorkeur,Krant,Vaak,1.55,5.61
D66 & Sigrid Kaag,Partijvoorkeur,Socials,Nauwelijks,1.32,5.49
D66 & Sigrid Kaag,Partijvoorkeur,Socials,Regelmatig,1.39,5.53
D66 & Sigrid Kaag,Partijvoorkeur,Socials,Vaak,1.54,5.91
D66 & Sigrid Kaag,Partijvoorkeur,TV,Nauwelijks,0.99,4.95
D66 & Sigrid Kaag,Partijvoorkeur,TV,Regelmatig,1.3,5.29
D66 & Sigrid Kaag,Partijvoorkeur,TV,Vaak,1.53,5.77
D66 & Sigrid Kaag,Zwevend,Krant,Nauwelijks,0.97,5.23
D66 & Sigrid Kaag,Zwevend,Krant,Regelmatig,1.39,5.23
D66 & Sigrid Kaag,Zwevend,Krant,Vaak,1.51,5.61
D66 & Sigrid Kaag,Zwevend,Socials,Nauwelijks,1.09,5.28
D66 & Sigrid Kaag,Zwevend,Socials,Regelmatig,1.36,5.06
D66 & Sigrid Kaag,Zwevend,Socials,Vaak,1.46,6
D66 & Sigrid Kaag,Zwevend,TV,Nauwelijks,0.74,3.75
D66 & Sigrid Kaag,Zwevend,TV,Regelmatig,1.58,5.31
D66 & Sigrid Kaag,Zwevend,TV,Vaak,1.29,5.67
Denk & Farid Azarkan,Coalitievoorkeur,Krant,Nauwelijks,0.91,3.71
Denk & Farid Azarkan,Coalitievoorkeur,Krant,Regelmatig,1.06,4.39
Denk & Farid Azarkan,Coalitievoorkeur,Krant,Vaak,1.21,3.88
Denk & Farid Azarkan,Coalitievoorkeur,Socials,Nauwelijks,1.01,3.63
Denk & Farid Azarkan,Coalitievoorkeur,Socials,Regelmatig,1.12,4.16
Denk & Farid Azarkan,Coalitievoorkeur,Socials,Vaak,1.2,4.48
Denk & Farid Azarkan,Coalitievoorkeur,TV,Nauwelijks,0.84,3.67
Denk & Farid Azarkan,Coalitievoorkeur,TV,Regelmatig,1.02,3.99
Denk & Farid Azarkan,Coalitievoorkeur,TV,Vaak,1.14,3.97
Denk & Farid Azarkan,Niet stemmer,Krant,Nauwelijks,0.54,4.8
Denk & Farid Azarkan,Niet stemmer,Krant,Regelmatig,1,5.25
Denk & Farid Azarkan,Niet stemmer,Krant,Vaak,1.13,4.5
Denk & Farid Azarkan,Niet stemmer,Socials,Nauwelijks,0.59,4.8
Denk & Farid Azarkan,Niet stemmer,Socials,Regelmatig,0.9,6
Denk & Farid Azarkan,Niet stemmer,Socials,Vaak,1.4,4.5
Denk & Farid Azarkan,Niet stemmer,TV,Nauwelijks,0.52,4.67
Denk & Farid Azarkan,Niet stemmer,TV,Regelmatig,0.78,5.33
Denk & Farid Azarkan,Niet stemmer,TV,Vaak,1.08,4.5
Denk & Farid Azarkan,Partijvoorkeur,Krant,Nauwelijks,0.87,3.64
Denk & Farid Azarkan,Partijvoorkeur,Krant,Regelmatig,1.07,4.52
Denk & Farid Azarkan,Partijvoorkeur,Krant,Vaak,1.19,4.01
Denk & Farid Azarkan,Partijvoorkeur,Socials,Nauwelijks,0.97,3.58
Denk & Farid Azarkan,Partijvoorkeur,Socials,Regelmatig,1.11,4.25
Denk & Farid Azarkan,Partijvoorkeur,Socials,Vaak,1.19,4.76
Denk & Farid Azarkan,Partijvoorkeur,TV,Nauwelijks,0.79,3.67
Denk & Farid Azarkan,Partijvoorkeur,TV,Regelmatig,1.03,4.02
Denk & Farid Azarkan,Partijvoorkeur,TV,Vaak,1.12,4.06
Denk & Farid Azarkan,Zwevend,Krant,Nauwelijks,0.79,3.14
Denk & Farid Azarkan,Zwevend,Krant,Regelmatig,1.18,4.07
Denk & Farid Azarkan,Zwevend,Krant,Vaak,1.31,3.86
Denk & Farid Azarkan,Zwevend,Socials,Nauwelijks,0.9,2.93
Denk & Farid Azarkan,Zwevend,Socials,Regelmatig,1.2,4.32
Denk & Farid Azarkan,Zwevend,Socials,Vaak,1.23,4.61
Denk & Farid Azarkan,Zwevend,TV,Nauwelijks,0.63,3.5
Denk & Farid Azarkan,Zwevend,TV,Regelmatig,1.31,3.1
Denk & Farid Azarkan,Zwevend,TV,Vaak,1.09,3.9
FvD & Thierry Baudet,Coalitievoorkeur,Krant,Nauwelijks,1.61,2.96
FvD & Thierry Baudet,Coalitievoorkeur,Krant,Regelmatig,1.66,3.63
FvD & Thierry Baudet,Coalitievoorkeur,Krant,Vaak,1.72,3.18
FvD & Thierry Baudet,Coalitievoorkeur,Socials,Nauwelijks,1.63,2.86
FvD & Thierry Baudet,Coalitievoorkeur,Socials,Regelmatig,1.71,3.78
FvD & Thierry Baudet,Coalitievoorkeur,Socials,Vaak,1.77,3.79
FvD & Thierry Baudet,Coalitievoorkeur,TV,Nauwelijks,1.59,3.25
FvD & Thierry Baudet,Coalitievoorkeur,TV,Regelmatig,1.64,3.72
