mtype,id,date,publisher
Newspapers,3286706,2021-03-03,De Telegraaf
Newspapers,2754268,2021-02-03,De Telegraaf
Newspapers,3294963,2021-03-08,NRC Handelsblad
Newspapers,2762529,2021-02-10,De Volkskrant
Newspapers,2762538,2021-02-10,De Volkskrant
Newspapers,3286830,2021-03-03,De Telegraaf
Newspapers,2762556,2021-02-10,NRC Handelsblad
Newspapers,3286845,2021-03-03,De Telegraaf
Newspapers,2762569,2021-02-10,NRC Handelsblad
Newspapers,3295553,2021-03-10,Trouw
Newspapers,2713449,2021-01-09,De Volkskrant
Newspapers,3286888,2021-03-04,De Telegraaf
Newspapers,3286899,2021-03-04,De Telegraaf
Newspapers,2762618,2021-02-10,NRC Handelsblad
Newspapers,2713477,2021-01-09,De Volkskrant
Newspapers,2713480,2021-01-09,De Volkskrant
Newspapers,2762635,2021-02-11,Trouw
Newspapers,3295120,2021-03-09,Trouw
Newspapers,2762642,2021-02-11,Trouw
Newspapers,2762652,2021-02-11,Trouw
Newspapers,3295557,2021-03-10,Trouw
Newspapers,2762697,2021-02-11,Trouw
Newspapers,2713561,2021-01-11,De Volkskrant
Newspapers,2764804,2021-02-16,Trouw
Newspapers,2666521,2021-01-02,NRC Handelsblad
Newspapers,2764843,2021-02-16,Trouw
Newspapers,2715726,2021-01-09,Algemeen Dagblad
Newspapers,2732122,2021-01-25,Trouw
Newspapers,2764896,2021-02-16,De Telegraaf
Newspapers,3297376,2021-03-13,De Volkskrant
Newspapers,3297382,2021-03-13,De Volkskrant
Newspapers,2715763,2021-01-09,Algemeen Dagblad
Newspapers,2715765,2021-01-09,Algemeen Dagblad
Newspapers,2732169,2021-01-25,De Telegraaf
Newspapers,2756759,2021-02-05,De Telegraaf
Newspapers,2674849,2021-01-06,NRC Handelsblad
Newspapers,2754931,2021-01-30,Trouw
Newspapers,2713981,2021-01-16,De Volkskrant
Newspapers,2713983,2021-01-16,De Volkskrant
Newspapers,2713984,2021-01-16,De Volkskrant
Newspapers,2713985,2021-01-16,De Volkskrant
Newspapers,2763138,2021-02-12,Trouw
Newspapers,2713989,2021-01-16,De Volkskrant
Newspapers,2754953,2021-01-30,Trouw
Newspapers,3295713,2021-03-10,De Telegraaf
Newspapers,2714099,2021-01-18,De Volkskrant
Newspapers,2755060,2021-01-30,De Volkskrant
Newspapers,2689529,2021-01-12,NRC Handelsblad
Newspapers,2714136,2021-01-19,De Volkskrant
Newspapers,2714142,2021-01-19,De Volkskrant
Newspapers,2714163,2021-01-19,De Volkskrant
Newspapers,2689593,2021-01-12,NRC Handelsblad
Newspapers,2755133,2021-02-01,Trouw
Newspapers,2755148,2021-02-01,Trouw
Newspapers,2763368,2021-02-12,De Telegraaf
Newspapers,2755180,2021-01-28,Algemeen Dagblad
Newspapers,2763390,2021-02-12,Algemeen Dagblad
