id,cat,subcat,label,count
2765942,actor,CDA,CDA,1
2766032,actor,CDA,CDA,1
2766047,actor,CDA,CDA,1
2766049,actor,CDA,CDA,1
2766051,actor,CDA,CDA,1
2766092,actor,CDA,CDA,1
2766132,actor,CDA,CDA,1
2766159,actor,CDA,CDA,1
2766160,actor,CDA,CDA,2
2766166,actor,CDA,CDA,1
2766170,actor,CDA,CDA,1
2766175,actor,CDA,CDA,4
2766282,actor,CDA,CDA,1
2766447,actor,CDA,CDA,1
2766448,actor,CDA,CDA,1
2766515,actor,CDA,CDA,1
2766522,actor,CDA,CDA,3
2766527,actor,CDA,CDA,1
2766589,actor,CDA,CDA,7
2766591,actor,CDA,CDA,2
2766607,actor,CDA,CDA,1
2766616,actor,CDA,CDA,1
2766692,actor,CDA,CDA,4
2766732,actor,CDA,CDA,1
2766736,actor,CDA,CDA,2
2766800,actor,CDA,CDA,3
2766817,actor,CDA,CDA,1
2766842,actor,CDA,CDA,1
2766862,actor,CDA,CDA,1
2766986,actor,CDA,CDA,3
2767000,actor,CDA,CDA,9
2767003,actor,CDA,CDA,3
2767116,actor,CDA,CDA,2
2767121,actor,CDA,CDA,1
2767158,actor,CDA,CDA,1
2767163,actor,CDA,CDA,2
2767167,actor,CDA,CDA,1
2767186,actor,CDA,CDA,1
2767238,actor,CDA,CDA,1
2767241,actor,CDA,CDA,1
2767246,actor,CDA,CDA,1
2767251,actor,CDA,CDA,10
2767258,actor,CDA,CDA,3
2767269,actor,CDA,CDA,4
2767272,actor,CDA,CDA,2
2767274,actor,CDA,CDA,1
2767371,actor,CDA,CDA,1
2767372,actor,CDA,CDA,1
2767391,actor,CDA,CDA,1
2767393,actor,CDA,CDA,1
2767394,actor,CDA,CDA,4
2767395,actor,CDA,CDA,1
2767408,actor,CDA,CDA,1
2767424,actor,CDA,CDA,1
2767474,actor,CDA,CDA,7
2767499,actor,CDA,CDA,1
2767511,actor,CDA,CDA,1
2767521,actor,CDA,CDA,1
2767547,actor,CDA,CDA,2
2767559,actor,CDA,CDA,1
2767563,actor,CDA,CDA,1
2767582,actor,CDA,CDA,4
2767586,actor,CDA,CDA,4
2767602,actor,CDA,CDA,2
2767629,actor,CDA,CDA,1
2767646,actor,CDA,CDA,6
2767655,actor,CDA,CDA,3
2767717,actor,CDA,CDA,2
2767718,actor,CDA,CDA,1
2767789,actor,CDA,CDA,3
2767790,actor,CDA,CDA,2
2767817,actor,CDA,CDA,2
2767823,actor,CDA,CDA,10
2767850,actor,CDA,CDA,3
2767869,actor,CDA,CDA,2
2768895,actor,CDA,CDA,1
2769036,actor,CDA,CDA,4
2769038,actor,CDA,CDA,2
2769087,actor,CDA,CDA,2
2769113,actor,CDA,CDA,19
2769166,actor,CDA,CDA,1
2769171,actor,CDA,CDA,2
2769209,actor,CDA,CDA,1
2769302,actor,CDA,CDA,1
2769316,actor,CDA,CDA,1
2769352,actor,CDA,CDA,1
2769375,actor,CDA,CDA,1
2769436,actor,CDA,CDA,1
2769458,actor,CDA,CDA,1
2769468,actor,CDA,CDA,4
2769593,actor,CDA,CDA,1
2769639,actor,CDA,CDA,4
2769653,actor,CDA,CDA,2
2769657,actor,CDA,CDA,2
2769669,actor,CDA,CDA,1
2769732,actor,CDA,CDA,7
2769757,actor,CDA,CDA,1
2769767,actor,CDA,CDA,1
2769794,actor,CDA,CDA,1
2769810,actor,CDA,CDA,1
2769821,actor,CDA,CDA,1
2769860,actor,CDA,CDA,1
2769901,actor,CDA,CDA,1
2769902,actor,CDA,CDA,1
2769970,actor,CDA,CDA,1
2770067,actor,CDA,CDA,1
2770084,actor,CDA,CDA,1
2770119,actor,CDA,CDA,2
2770124,actor,CDA,CDA,1
2770137,actor,CDA,CDA,2
2770216,actor,CDA,CDA,1
2770217,actor,CDA,CDA,1
2770244,actor,CDA,CDA,4
2770248,actor,CDA,CDA,1
2770289,actor,CDA,CDA,2
2770300,actor,CDA,CDA,1
