"name_label","date","platform","dif","final_label"
"Thierry Baudet (FvD)",2021-01-20,"facebook",2.05,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-22,"facebook",2.71,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-23,"facebook",2.83,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-24,"facebook",3.02,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-25,"facebook",3.18,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-26,"facebook",3.34,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-27,"facebook",4.25,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-29,"facebook",4.92,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-30,"facebook",5.01,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-31,"facebook",5.1,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-02-02,"facebook",5.23,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-02-03,"facebook",5.29,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-02-04,"facebook",5.55,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-02-05,"facebook",5.72,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-02-06,"facebook",5.88,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-02-07,"facebook",5.98,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-02-09,"facebook",6.24,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-02-11,"facebook",6.48,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-02-12,"facebook",6.82,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-02-13,"facebook",6.92,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-02-14,"facebook",6.98,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-02-15,"facebook",7.05,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Jesse Klaver (GL)",2021-01-01,"facebook",0,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-02,"facebook",-0.06,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-03,"facebook",-0.06,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-04,"facebook",-0.07,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-05,"facebook",-0.09,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-06,"facebook",-0.12,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-07,"facebook",-0.15,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-08,"facebook",-0.18,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-09,"facebook",-0.2,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-10,"facebook",-0.22,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-11,"facebook",-0.23,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-12,"facebook",-0.23,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-13,"facebook",-0.24,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-14,"facebook",-0.25,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-15,"facebook",-0.26,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-16,"facebook",-0.27,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-17,"facebook",-0.29,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-18,"facebook",-0.3,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-19,"facebook",-0.32,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-20,"facebook",-0.33,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-22,"facebook",-0.33,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-23,"facebook",-0.32,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-24,"facebook",-0.29,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-25,"facebook",-0.29,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-26,"facebook",-0.27,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-27,"facebook",-0.27,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-29,"facebook",-0.27,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-30,"facebook",-0.27,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-01-31,"facebook",-0.28,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-02-02,"facebook",-0.29,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-02-03,"facebook",-0.29,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-02-04,"facebook",-0.3,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-02-05,"facebook",-0.32,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-02-06,"facebook",-0.33,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-02-07,"facebook",-0.34,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-02-09,"facebook",-0.34,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-02-11,"facebook",-0.36,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-02-12,"facebook",-0.37,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-02-13,"facebook",-0.38,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-02-14,"facebook",-0.39,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Jesse Klaver (GL)",2021-02-15,"facebook",-0.41,"Jesse Klaver (GL): 127,774 to 128,295 (+0%)"
"Lilian Marijnissen (SP)",2021-01-01,"facebook",0,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-02,"facebook",0.01,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-03,"facebook",0.01,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-04,"facebook",0.02,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
