"name_label","date","twitter_diff","final_label"
"Lilian Marijnissen (SP)",2021-02-03,4.1,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-02-04,4.3,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-02-05,4.33,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-02-06,4.37,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-02-07,4.41,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-02-08,4.44,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-02-09,4.48,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-02-10,4.51,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-02-11,4.55,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-02-12,4.58,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-02-13,4.78,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-02-14,5.14,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-02-15,5.5,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Esther Ouwehand (PvdD)",2021-01-21,0,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-01-22,0.11,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-01-23,0.21,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-01-24,0.32,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-01-25,0.43,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-01-26,0.54,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-01-27,0.64,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-01-28,0.75,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-01-29,0.86,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-01-30,0.95,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-01-31,1,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-02-01,1.05,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-02-02,1.1,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-02-03,1.15,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-02-04,1.24,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-02-05,1.44,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-02-06,1.63,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-02-07,1.83,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-02-08,2.03,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-02-09,2.23,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-02-10,2.43,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-02-11,2.62,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-02-12,2.82,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-02-13,3.2,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-02-14,3.75,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Esther Ouwehand (PvdD)",2021-02-15,4.3,"Esther Ouwehand (PvdD): 30,535 to 31,925 (+5%)"
"Gert-Jan Segers (CU)",2021-01-21,0,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-01-22,0,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-01-23,0,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-01-24,0,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-01-25,0,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-01-26,0,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-01-27,0,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-01-28,0,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-01-29,0,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-01-30,0.03,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-01-31,0.12,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-01,0.22,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-02,0.32,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-03,0.43,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-04,0.5,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-05,0.52,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-06,0.53,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-07,0.54,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-08,0.56,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-09,0.57,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-10,0.59,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-11,0.6,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-12,0.61,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-13,0.67,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-14,0.77,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-15,0.87,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Kees van der Staaij (SGP)",2021-01-21,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-22,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-23,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-24,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-25,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-26,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-27,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-28,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-29,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-30,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-31,0.02,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-01,0.03,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-02,0.05,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-03,0.06,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-04,0.08,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
