"date","instagram","diff","name_label","final_label"
2021-01-01,"marijnissenlilian",0,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-02,"marijnissenlilian",0.18,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-03,"marijnissenlilian",0.36,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-04,"marijnissenlilian",0.53,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-05,"marijnissenlilian",0.71,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-06,"marijnissenlilian",0.81,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-07,"marijnissenlilian",0.91,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-08,"marijnissenlilian",1.01,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-09,"marijnissenlilian",1.11,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-10,"marijnissenlilian",1.21,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-11,"marijnissenlilian",1.31,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-12,"marijnissenlilian",1.41,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-13,"marijnissenlilian",1.55,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-14,"marijnissenlilian",1.7,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-15,"marijnissenlilian",1.68,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-16,"marijnissenlilian",1.96,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-17,"marijnissenlilian",2.23,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-18,"marijnissenlilian",2.49,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-19,"marijnissenlilian",2.74,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-20,"marijnissenlilian",3.18,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-21,"marijnissenlilian",3.29,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-22,"marijnissenlilian",3.52,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-23,"marijnissenlilian",3.75,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-24,"marijnissenlilian",3.99,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-25,"marijnissenlilian",4.22,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-26,"marijnissenlilian",4.45,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-27,"marijnissenlilian",4.64,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-28,"marijnissenlilian",4.82,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-29,"marijnissenlilian",5.05,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-30,"marijnissenlilian",5.19,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-31,"marijnissenlilian",5.33,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-02-01,"marijnissenlilian",5.47,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-02-02,"marijnissenlilian",5.61,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-02-03,"marijnissenlilian",5.75,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-02-04,"marijnissenlilian",5.89,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-02-05,"marijnissenlilian",6.14,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-02-06,"marijnissenlilian",6.22,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-02-07,"marijnissenlilian",6.31,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-02-08,"marijnissenlilian",6.32,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-02-09,"marijnissenlilian",6.51,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-02-10,"marijnissenlilian",6.7,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-02-11,"marijnissenlilian",6.89,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-02-12,"marijnissenlilian",7.2,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-02-13,"marijnissenlilian",7.35,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-02-14,"marijnissenlilian",7.5,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-02-15,"marijnissenlilian",7.78,"Lilian Marijnissen (SP)","Lilian Marijnissen (SP):  14,794 to  15,945 (+8%)"
2021-01-01,"estherouwehandpvdd",0,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
2021-01-02,"estherouwehandpvdd",0.15,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
2021-01-03,"estherouwehandpvdd",0.3,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
2021-01-04,"estherouwehandpvdd",0.44,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
